case_id,case_type,legal_category,court,year,case_duration_months,previous_status,outcome
1,Civil,Family,Family Court,2022,10,Pending,Acquitted
2,Criminal,Property,Family Court,2022,26,Pending,Pending
3,Criminal,Family,District Court,2021,26,Mediation,Pending
4,Criminal,Property,District Court,2020,14,Under Review,Acquitted
5,Criminal,Property,Family Court,2022,44,Mediation,Settled
6,Criminal,Property,High Court,2025,46,Hearing,Pending
7,Civil,Property,Family Court,2024,11,Hearing,Settled
8,Civil,Cyber Crime,High Court,2021,11,Under Review,Settled
9,Criminal,Property,Family Court,2023,10,Hearing,Settled
10,Civil,Property,High Court,2025,8,Under Review,Acquitted
11,Criminal,Property,High Court,2021,46,Under Review,Acquitted
12,Criminal,Criminal Law,Family Court,2025,25,Mediation,Settled
13,Criminal,Family,District Court,2021,26,Under Review,Pending
14,Criminal,Criminal Law,District Court,2024,17,Pending,Settled
15,Civil,Criminal Law,District Court,2023,10,Mediation,Settled
16,Civil,Family,Family Court,2022,35,Hearing,Settled
17,Civil,Family,Family Court,2020,10,Mediation,Settled
18,Criminal,Criminal Law,High Court,2024,37,Mediation,Acquitted
19,Civil,Criminal Law,Family Court,2024,16,Hearing,Acquitted
20,Criminal,Property,High Court,2022,11,Hearing,Convicted
21,Criminal,Criminal Law,Family Court,2020,34,Mediation,Pending
22,Civil,Family,Family Court,2022,31,Mediation,Pending
23,Civil,Property,High Court,2023,4,Under Review,Pending
24,Civil,Property,High Court,2025,13,Mediation,Pending
25,Criminal,Criminal Law,High Court,2020,3,Pending,Acquitted
26,Civil,Family,District Court,2022,41,Under Review,Acquitted
27,Civil,Criminal Law,District Court,2022,44,Mediation,Settled
28,Civil,Criminal Law,District Court,2023,14,Under Review,Acquitted
29,Civil,Criminal Law,District Court,2020,4,Under Review,Convicted
30,Civil,Property,District Court,2020,21,Under Review,Settled
31,Criminal,Criminal Law,High Court,2023,13,Mediation,Settled
32,Civil,Family,District Court,2023,36,Under Review,Convicted
33,Civil,Property,District Court,2020,8,Mediation,Settled
34,Criminal,Criminal Law,Family Court,2021,5,Hearing,Convicted
35,Criminal,Property,District Court,2020,42,Mediation,Convicted
36,Criminal,Property,District Court,2020,25,Hearing,Pending
37,Civil,Property,High Court,2020,4,Pending,Settled
38,Criminal,Criminal Law,Family Court,2020,43,Hearing,Acquitted
39,Criminal,Cyber Crime,High Court,2020,26,Mediation,Settled
40,Criminal,Family,High Court,2022,27,Hearing,Pending
41,Criminal,Property,High Court,2021,37,Mediation,Pending
42,Criminal,Family,District Court,2025,23,Mediation,Acquitted
43,Criminal,Family,Family Court,2020,35,Mediation,Settled
44,Civil,Family,High Court,2025,32,Under Review,Pending
45,Civil,Cyber Crime,Family Court,2022,36,Pending,Acquitted
46,Criminal,Family,District Court,2024,21,Mediation,Settled
47,Civil,Property,High Court,2024,48,Pending,Pending
48,Criminal,Property,District Court,2020,48,Pending,Pending
49,Criminal,Cyber Crime,Family Court,2024,23,Mediation,Acquitted
50,Criminal,Criminal Law,High Court,2020,44,Hearing,Pending
51,Civil,Criminal Law,High Court,2025,25,Under Review,Convicted
52,Criminal,Cyber Crime,District Court,2020,11,Hearing,Acquitted
53,Civil,Property,Family Court,2021,37,Under Review,Pending
54,Civil,Property,Family Court,2020,38,Pending,Settled
55,Criminal,Family,High Court,2023,25,Hearing,Settled
56,Criminal,Criminal Law,Family Court,2025,27,Under Review,Acquitted
57,Civil,Family,High Court,2025,44,Under Review,Settled
58,Civil,Property,District Court,2024,46,Mediation,Acquitted
59,Criminal,Family,High Court,2022,42,Mediation,Settled
60,Criminal,Criminal Law,High Court,2022,19,Mediation,Settled
61,Criminal,Family,High Court,2024,28,Pending,Settled
62,Civil,Family,District Court,2020,3,Hearing,Settled
63,Criminal,Property,District Court,2024,3,Mediation,Convicted
64,Criminal,Criminal Law,High Court,2024,5,Mediation,Convicted
65,Civil,Family,District Court,2024,16,Mediation,Settled
66,Civil,Criminal Law,High Court,2023,7,Mediation,Settled
67,Criminal,Criminal Law,Family Court,2023,35,Under Review,Acquitted
68,Civil,Property,High Court,2024,38,Under Review,Convicted
69,Criminal,Family,High Court,2020,7,Pending,Settled
70,Criminal,Cyber Crime,High Court,2020,30,Mediation,Acquitted
71,Criminal,Criminal Law,High Court,2022,35,Pending,Pending
72,Civil,Cyber Crime,Family Court,2020,35,Mediation,Pending
73,Criminal,Property,Family Court,2025,4,Pending,Settled
74,Civil,Criminal Law,High Court,2024,28,Under Review,Settled
75,Criminal,Property,Family Court,2023,47,Hearing,Pending
76,Criminal,Criminal Law,District Court,2020,38,Under Review,Acquitted
77,Criminal,Family,District Court,2022,38,Under Review,Settled
78,Criminal,Criminal Law,High Court,2024,14,Pending,Pending
79,Civil,Family,District Court,2025,19,Pending,Acquitted
80,Criminal,Criminal Law,District Court,2022,21,Pending,Settled
81,Civil,Cyber Crime,District Court,2023,16,Hearing,Pending
82,Civil,Criminal Law,District Court,2024,37,Mediation,Convicted
83,Civil,Property,District Court,2020,41,Pending,Pending
84,Criminal,Property,Family Court,2021,7,Hearing,Pending
85,Civil,Family,Family Court,2023,11,Under Review,Pending
86,Civil,Property,Family Court,2025,15,Mediation,Settled
87,Criminal,Cyber Crime,High Court,2024,31,Pending,Convicted
88,Criminal,Criminal Law,District Court,2025,19,Hearing,Pending
89,Civil,Family,High Court,2023,33,Hearing,Pending
90,Criminal,Family,High Court,2021,21,Hearing,Settled
91,Civil,Property,High Court,2021,22,Mediation,Pending
92,Civil,Family,District Court,2022,15,Mediation,Pending
93,Civil,Criminal Law,District Court,2020,40,Pending,Pending
94,Criminal,Cyber Crime,District Court,2024,23,Mediation,Convicted
95,Civil,Cyber Crime,Family Court,2022,22,Pending,Acquitted
96,Civil,Property,Family Court,2020,5,Mediation,Acquitted
97,Civil,Property,High Court,2023,26,Mediation,Settled
98,Criminal,Property,High Court,2021,30,Mediation,Settled
99,Criminal,Cyber Crime,High Court,2020,11,Pending,Acquitted
100,Civil,Family,District Court,2024,48,Hearing,Pending
101,Criminal,Criminal Law,District Court,2020,4,Under Review,Pending
102,Criminal,Criminal Law,District Court,2020,3,Under Review,Pending
103,Civil,Criminal Law,High Court,2020,24,Hearing,Acquitted
104,Civil,Property,District Court,2022,3,Pending,Settled
105,Criminal,Family,District Court,2024,40,Hearing,Acquitted
106,Civil,Family,High Court,2021,21,Pending,Settled
107,Civil,Property,Family Court,2024,15,Mediation,Settled
108,Civil,Family,High Court,2023,33,Mediation,Settled
109,Criminal,Criminal Law,High Court,2022,14,Pending,Acquitted
110,Civil,Property,Family Court,2020,19,Mediation,Convicted
111,Civil,Family,District Court,2025,4,Hearing,Settled
112,Criminal,Family,High Court,2025,36,Under Review,Convicted
113,Civil,Property,High Court,2023,40,Pending,Pending
114,Criminal,Property,High Court,2022,19,Pending,Pending
115,Criminal,Cyber Crime,High Court,2020,22,Mediation,Settled
116,Criminal,Criminal Law,District Court,2025,45,Hearing,Convicted
117,Civil,Criminal Law,Family Court,2022,18,Mediation,Settled
118,Criminal,Criminal Law,Family Court,2022,29,Pending,Pending
119,Civil,Property,Family Court,2024,7,Under Review,Settled
120,Civil,Property,High Court,2020,7,Pending,Convicted
121,Criminal,Criminal Law,High Court,2021,47,Hearing,Settled
122,Civil,Criminal Law,High Court,2025,45,Hearing,Convicted
123,Civil,Property,District Court,2020,37,Pending,Pending
124,Civil,Criminal Law,High Court,2025,28,Mediation,Convicted
125,Criminal,Family,High Court,2025,9,Hearing,Pending
126,Criminal,Family,District Court,2021,40,Hearing,Convicted
127,Criminal,Property,District Court,2023,12,Hearing,Settled
128,Civil,Property,High Court,2023,27,Pending,Convicted
129,Civil,Family,Family Court,2020,47,Under Review,Settled
130,Civil,Family,Family Court,2020,46,Hearing,Convicted
131,Civil,Criminal Law,High Court,2021,47,Under Review,Acquitted
132,Civil,Property,District Court,2025,8,Hearing,Convicted
133,Criminal,Property,High Court,2025,33,Mediation,Pending
