case_id,case_type,legal_category,court,year,case_duration_months,previous_status,outcome
1,Civil,Cyber Crime,District Court,2020,31,Pending,Acquitted
2,Criminal,Property,High Court,2020,45,Pending,Acquitted
3,Civil,Property,Family Court,2025,24,Under Review,Pending
4,Civil,Criminal Law,Family Court,2021,28,Under Review,Acquitted
5,Civil,Cyber Crime,High Court,2025,30,Under Review,Acquitted
6,Criminal,Property,High Court,2023,23,Hearing,Convicted
7,Civil,Family,Family Court,2020,9,Hearing,Settled
8,Civil,Family,Family Court,2020,19,Under Review,Pending
9,Civil,Property,High Court,2024,22,Under Review,Pending
10,Criminal,Family,Family Court,2023,43,Under Review,Acquitted
11,Civil,Criminal Law,District Court,2020,22,Hearing,Convicted
12,Civil,Family,District Court,2023,24,Hearing,Convicted
13,Civil,Family,High Court,2021,30,Pending,Settled
14,Civil,Criminal Law,High Court,2022,42,Pending,Acquitted
15,Criminal,Property,High Court,2020,9,Under Review,Pending
16,Civil,Family,District Court,2024,3,Hearing,Acquitted
17,Criminal,Criminal Law,Family Court,2021,34,Hearing,Settled
18,Criminal,Property,District Court,2023,15,Hearing,Settled
19,Criminal,Property,Family Court,2025,32,Under Review,Convicted
20,Civil,Criminal Law,District Court,2021,25,Pending,Settled
21,Criminal,Family,Family Court,2020,21,Under Review,Pending
22,Civil,Property,District Court,2023,34,Pending,Settled
23,Criminal,Criminal Law,High Court,2022,32,Pending,Convicted
24,Criminal,Property,District Court,2021,31,Under Review,Settled
25,Criminal,Family,Family Court,2020,47,Pending,Settled
26,Criminal,Property,District Court,2024,31,Pending,Settled
27,Criminal,Family,District Court,2025,32,Hearing,Settled
28,Criminal,Criminal Law,District Court,2023,18,Pending,Acquitted
29,Criminal,Cyber Crime,High Court,2021,42,Under Review,Settled
30,Criminal,Property,District Court,2021,21,Under Review,Pending
31,Civil,Criminal Law,High Court,2022,20,Pending,Pending
32,Civil,Property,High Court,2022,3,Hearing,Pending
33,Criminal,Cyber Crime,District Court,2024,16,Hearing,Settled
34,Criminal,Cyber Crime,District Court,2025,4,Pending,Convicted
35,Criminal,Property,District Court,2024,30,Pending,Settled
36,Civil,Family,Family Court,2020,32,Under Review,Settled
37,Criminal,Family,District Court,2020,40,Pending,Pending
38,Civil,Criminal Law,High Court,2024,6,Hearing,Settled
39,Civil,Criminal Law,District Court,2025,3,Pending,Convicted
40,Civil,Property,Family Court,2024,10,Under Review,Pending
41,Civil,Property,District Court,2025,31,Under Review,Acquitted
42,Civil,Cyber Crime,Family Court,2025,41,Under Review,Convicted
43,Criminal,Cyber Crime,Family Court,2023,5,Under Review,Settled
44,Criminal,Family,District Court,2025,34,Under Review,Settled
45,Criminal,Criminal Law,High Court,2022,12,Pending,Convicted
46,Criminal,Criminal Law,Family Court,2025,12,Pending,Settled
47,Criminal,Family,District Court,2025,21,Pending,Settled
48,Civil,Cyber Crime,District Court,2025,48,Pending,Settled
49,Criminal,Cyber Crime,High Court,2020,36,Under Review,Settled
50,Criminal,Family,Family Court,2022,35,Hearing,Settled
51,Civil,Family,Family Court,2022,25,Pending,Settled
52,Criminal,Property,District Court,2024,30,Hearing,Pending
53,Civil,Property,District Court,2023,34,Pending,Acquitted
54,Criminal,Cyber Crime,High Court,2025,9,Pending,Acquitted
55,Civil,Family,High Court,2021,31,Hearing,Settled
56,Criminal,Property,Family Court,2023,10,Under Review,Convicted
57,Criminal,Property,Family Court,2023,3,Pending,Settled
58,Civil,Family,District Court,2022,5,Pending,Acquitted
59,Civil,Property,Family Court,2023,26,Pending,Acquitted
60,Civil,Property,High Court,2025,25,Hearing,Settled
61,Civil,Criminal Law,High Court,2025,10,Under Review,Pending
62,Civil,Family,District Court,2020,39,Hearing,Settled
63,Civil,Family,High Court,2025,5,Hearing,Pending
64,Civil,Property,High Court,2025,35,Under Review,Acquitted
65,Civil,Family,High Court,2022,30,Hearing,Pending
66,Criminal,Property,High Court,2025,10,Under Review,Pending
67,Criminal,Criminal Law,District Court,2020,36,Pending,Acquitted
68,Civil,Family,District Court,2021,37,Under Review,Settled
69,Criminal,Family,Family Court,2022,34,Pending,Acquitted
70,Criminal,Family,High Court,2021,26,Hearing,Settled
71,Criminal,Family,Family Court,2022,16,Hearing,Pending
72,Criminal,Criminal Law,District Court,2024,34,Pending,Convicted
73,Civil,Property,District Court,2023,48,Hearing,Acquitted
